date,obs_flow,name
2012-10-12,0.86,1 Peralejos
2012-10-13,0.86,1 Peralejos
2012-10-14,0.811,1 Peralejos
2012-10-15,0.86,1 Peralejos
2012-10-16,0.811,1 Peralejos
2012-10-17,0.811,1 Peralejos
2012-10-18,0.811,1 Peralejos
2012-10-19,0.86,1 Peralejos
2012-10-20,0.909,1 Peralejos
2012-10-21,0.958,1 Peralejos
2012-10-22,1.042,1 Peralejos
2012-10-23,0.909,1 Peralejos
2012-10-24,0.86,1 Peralejos
2012-10-25,0.86,1 Peralejos
2012-10-26,0.909,1 Peralejos
2012-10-27,0.958,1 Peralejos
2012-10-28,0.958,1 Peralejos
2012-10-29,0.958,1 Peralejos
2012-10-30,0.909,1 Peralejos
2012-10-31,0.958,1 Peralejos
2012-11-01,0.909,1 Peralejos
2012-11-02,0.909,1 Peralejos
2012-11-03,0.909,1 Peralejos
2012-11-04,2.048,1 Peralejos
2012-11-05,6.473,1 Peralejos
2012-11-06,3.309,1 Peralejos
2012-11-07,2.172,1 Peralejos
2012-11-08,1.925,1 Peralejos
2012-11-09,4.259,1 Peralejos
2012-11-10,7.736,1 Peralejos
2012-11-11,6.317,1 Peralejos
2012-11-12,5.414,1 Peralejos
2012-11-13,4.124,1 Peralejos
2012-11-14,3.445,1 Peralejos
2012-11-15,3.038,1 Peralejos
2012-11-16,2.667,1 Peralejos
2012-11-17,2.543,1 Peralejos
2012-11-18,2.42,1 Peralejos
2012-11-19,2.172,1 Peralejos
2012-11-20,2.048,1 Peralejos
2012-11-21,2.048,1 Peralejos
2012-11-22,1.925,1 Peralejos
2012-11-23,1.801,1 Peralejos
2012-11-24,1.801,1 Peralejos
2012-11-25,1.717,1 Peralejos
2012-11-26,1.801,1 Peralejos
2012-11-27,1.801,1 Peralejos
2012-11-28,1.801,1 Peralejos
2012-11-29,1.717,1 Peralejos
2012-11-30,1.717,1 Peralejos
2012-12-01,1.717,1 Peralejos
2012-12-02,1.632,1 Peralejos
2012-12-03,1.632,1 Peralejos
2012-12-04,1.632,1 Peralejos
2012-12-05,1.548,1 Peralejos
2012-12-06,1.548,1 Peralejos
2012-12-07,1.548,1 Peralejos
2012-12-08,1.548,1 Peralejos
2012-12-09,1.548,1 Peralejos
2012-12-10,1.464,1 Peralejos
2012-12-11,1.464,1 Peralejos
2012-12-12,1.464,1 Peralejos
2012-12-13,1.464,1 Peralejos
2012-12-14,1.464,1 Peralejos
2012-12-15,1.632,1 Peralejos
2012-12-16,2.791,1 Peralejos
2012-12-17,3.309,1 Peralejos
2012-12-18,3.581,1 Peralejos
2012-12-19,3.038,1 Peralejos
2012-12-20,2.791,1 Peralejos
2012-12-21,2.543,1 Peralejos
2012-12-22,2.42,1 Peralejos
2012-12-23,2.296,1 Peralejos
2012-12-24,2.172,1 Peralejos
2012-12-25,2.172,1 Peralejos
2012-12-26,2.048,1 Peralejos
2012-12-27,2.048,1 Peralejos
2012-12-28,1.925,1 Peralejos
2012-12-29,1.801,1 Peralejos
2012-12-30,1.925,1 Peralejos
2012-12-31,1.801,1 Peralejos
2013-01-01,1.801,1 Peralejos
2013-01-02,1.801,1 Peralejos
