name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qh2112,1.743,0,1.743,1.743,1.743,1.743,0.482591,0.326356,0.0066,1.623,0.156235,0.808947,0.12
qh2113,1.743,0,1.743,1.743,1.743,1.743,0.480523,0.325574,0.0065,1.607,0.154949,0.806097,0.136
qh2114,1.743,0,1.743,1.743,1.743,1.743,0.478133,0.324876,0.0065,1.61,0.153257,0.803009,0.133
qh2115,1.743,0,1.743,1.743,1.743,1.743,0.475551,0.322565,0.0065,1.597,0.152986,0.798116,0.146
qh2116,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.473392,0.320633,0.0064,1.586,0.152759,0.794025,0.018
qh2117,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.471942,0.318624,0.0064,1.578,0.153318,0.790566,0.026
qh2118,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.470638,0.318797,0.0064,1.569,0.151841,0.789435,0.035
qh2119,1.881,0,1.881,1.881,1.881,1.881,0.467585,0.316524,0.0064,1.578,0.151061,0.784109,0.303
qh2120,1.743,0,1.743,1.743,1.743,1.743,0.46634,0.31532,0.0064,1.568,0.15102,0.78166,0.175
qh2121,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.466159,0.314419,0.0063,1.561,0.15174,0.780578,0.043
qh2122,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.467041,0.313345,0.0068,1.576,0.153696,0.780386,0.028
qh2195,1.604,6.6949e-16,1.604,1.604,1.604,1.604,0.693289,0.324064,0.0545,1.586,0.369225,1.01735,0.018
qh2220,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.662987,0.278282,0.0436,1.46,0.384705,0.941269,0.006
qh2221,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.648952,0.275753,0.042,1.46,0.373199,0.924705,0.006
qh2222,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.636291,0.274238,0.0406,1.449,0.362053,0.910529,0.017
qh2223,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.626153,0.273692,0.0392,1.424,0.352461,0.899845,0.042
qh2224,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.616814,0.272851,0.0381,1.429,0.343963,0.889665,0.037
qh2225,1.466,4.46326e-16,1.466,1.466,1.466,1.466,0.607707,0.269884,0.0375,1.426,0.337823,0.877591,0.04
qh2271,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.52166,0.234729,0.0934,1.223,0.286931,0.756389,0.002
qh2272,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.519815,0.231694,0.0961,1.213,0.288121,0.751509,0.012
qh2278,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.524723,0.232749,0.0868,1.197,0.291974,0.757472,0.028
qh2279,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.515969,0.227274,0.0785,1.188,0.288695,0.743243,0.037
qh2280,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.507685,0.223867,0.083,1.178,0.283818,0.731552,0.047
qh2281,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.501475,0.222682,0.0744,1.171,0.278793,0.724157,0.054
qh2282,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.496046,0.22299,0.0804,1.174,0.273056,0.719036,0.051
qh2283,1.225,4.46326e-16,1.225,1.225,1.225,1.225,0.491598,0.221186,0.0783,1.181,0.270412,0.712784,0.044
qh2384,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.475245,0.23918,0.001,1.117,0.236065,0.714425,0.007
qh2385,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.468257,0.236189,0.001,1.104,0.232068,0.704446,0.02
qh2386,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.462883,0.235339,0.0011,1.095,0.227544,0.698222,0.029
qh2387,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.4565,0.234575,0.0011,1.1,0.221925,0.691075,0.024
qh2388,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.451489,0.234512,0.0011,1.097,0.216977,0.686001,0.027
qh2389,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.445943,0.232782,0.0011,1.098,0.213161,0.678725,0.026
qh2390,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.440786,0.232797,0.0012,1.091,0.207989,0.673583,0.033
qh2391,1.124,4.46326e-16,1.124,1.124,1.124,1.124,0.435884,0.231587,0.0012,1.081,0.204297,0.667471,0.043
